movieId,success,total,alpha,beta
435,1773,13194,1774,11422
436,194,1185,195,992
437,197,1675,198,1479
438,182,985,183,804
439,10,57,11,48
440,9232,17918,9233,8687
441,4640,8204,4641,3565
442,5122,18088,5123,12967
443,253,548,254,296
444,152,1193,153,1042
445,385,1743,386,1359
446,2390,3472,2391,1083
447,24,209,25,186
448,1363,2743,1364,1381
449,323,642,324,320
450,1117,2750,1118,1634
451,178,581,179,404
452,547,1082,548,536
453,234,874,235,641
454,10853,24161,10854,13309
455,1210,8275,1211,7066
456,582,892,583,311
457,34764,49638,34765,14875
458,284,956,285,673
459,188,1036,189,849
460,85,834,86,750
461,368,815,369,448
462,32,179,33,148
463,79,369,80,291
464,682,3021,683,2340
465,253,680,254,428
466,3069,12947,3070,9879
467,290,664,291,375
468,2527,6711,2528,4185
469,446,1213,447,768
470,40,440,41,401
471,5884,10631,5885,4748
472,134,663,135,530
473,148,1292,149,1145
474,10556,17996,10557,7441
475,5951,8580,5952,2630
476,60,212,61,153
477,2080,4128,2081,2049
478,23,253,24,231
479,249,1136,250,888
480,35121,64144,35122,29024
481,1977,4993,1978,3017
482,1126,2508,1127,1383
483,338,538,339,201
484,150,692,151,543
485,2455,13156,2456,10702
486,88,559,89,472
487,92,564,93,473
488,219,525,220,307
489,376,2765,377,2390
490,1173,2935,1174,1763
491,2032,4991,2033,2960
492,1736,3038,1737,1303
493,1923,3450,1924,1528
494,4496,11284,4497,6789
495,303,685,304,383
496,170,383,171,214
497,8652,13084,8653,4433
498,77,362,78,286
499,55,378,56,324
500,13911,34194,13912,20284
501,1255,1923,1256,669
502,317,3454,318,3138
503,48,131,49,84
504,298,1080,299,783
505,144,1224,145,1081
506,649,1272,650,624
507,1521,3109,1522,1589
508,12256,19902,12257,7647
509,9298,15998,9299,6701
510,131,822,132,692
511,479,1535,480,1057
512,318,1176,319,859
513,151,521,152,371
514,1924,4285,1925,2362
515,6745,9940,6746,3196
516,870,3147,871,2278
517,988,3298,989,2311
518,218,1145,219,928
519,350,4697,351,4348
520,4075,14245,4076,10171
521,793,1987,794,1195
522,603,1228,604,626
523,488,833,489,346
524,3536,7233,3537,3698
525,65,153,66,89
526,54,121,55,68
527,48680,60411,48681,11732
528,127,839,128,713
529,6595,10037,6596,3443
530,10,30,11,21
531,3435,7010,3436,3576
532,1768,5555,1769,3788
533,782,3638,783,2857
534,2920,4460,2921,1541
535,3197,5170,3198,1974
536,254,671,255,418
537,945,3085,946,2141
538,2725,4684,2726,1960
539,13398,28137,13399,14740
540,678,4550,679,3873
541,27314,36702,27315,9389
542,793,3309,794,2517
543,4004,11396,4005,7393
544,434,2058,435,1625
546,417,5371,418,4955
547,176,761,177,586
548,537,2605,538,2069
549,907,1326,908,420
550,924,3063,925,2140
551,12849,21940,12850,9092
552,3931,12096,3932,8166
553,7938,14333,7939,6396
554,140,463,141,324
555,9535,15314,9536,5780
556,842,1152,843,311
558,337,1495,338,1159
559,15,45,16,31
560,13,38,14,26
561,93,199,94,107
562,3734,5787,3735,2054
563,151,313,152,163
564,29,307,30,279
565,289,831,290,543
566,19,139,20,121
567,132,363,133,232
568,180,339,181,160
569,334,1547,335,1214
570,104,206,105,103
571,102,178,103,77
572,6,30,7,25
573,94,183,95,90
574,563,1276,564,714
575,663,2614,664,1952
576,3,24,4,22
577,137,589,138,453
579,7,35,8,29
580,149,510,150,362
581,1272,1756,1273,485
582,49,119,50,71
583,132,247,133,116
584,8,28,9,21
585,1687,8928,1688,7242
586,9252,29540,9253,20289
587,12551,28516,12552,15966
588,24456,43373,24457,18918
589,39292,57379,39293,18088
590,24283,41615,24284,17333
591,3,29,4,27
592,17679,44110,17680,26432
593,57969,74127,57970,16159
594,9007,17940,9008,8934
595,19550,35723,19551,16174
596,5881,12742,5882,6862
597,14668,34234,14669,19567
598,74,146,75,73
599,2236,3219,2237,984
600,87,278,88,192
601,46,105,47,60
602,223,297,224,75
603,149,569,150,421
604,2,6,3,5
605,1184,3255,1185,2072
606,247,1407,248,1161
607,3,16,4,14
608,36348,47823,36349,11476
609,634,2317,635,1684
610,3162,7289,3163,4128
611,307,1714,308,1408
612,245,1477,246,1233
613,1227,2227,1228,1001
614,49,144,50,96
615,407,578,408,172
616,3273,8197,3274,4925
617,261,504,262,244
618,67,343,68,277
619,120,663,121,544
620,15,39,16,25
621,170,299,171,130
623,14,34,15,21
625,9,25,10,17
626,158,598,159,441
627,852,1729,853,878
628,6604,10950,6605,4347
629,10,23,11,14
630,75,200,76,126
631,444,2070,445,1627
632,233,361,234,129
633,134,307,135,174
634,40,309,41,270
635,544,1005,545,462
636,13,34,14,22
637,1086,5371,1087,4286
638,195,534,196,340
639,260,1057,261,798
640,675,2861,676,2187
641,21,98,22,78
642,1,12,2,12
643,1,21,2,21
644,2,15,3,14
645,154,274,155,121
647,3625,7345,3626,3721
648,15071,37035,15072,21965
649,80,131,81,52
650,571,1233,572,663
651,5,40,6,36
652,18,73,19,56
653,4588,13693,4589,9106
654,3,16,4,14
655,2,18,3,17
656,276,1138,277,863
657,6,36,7,31
658,17,47,18,31
659,274,454,275,181
660,34,112,35,79
661,3799,9943,3800,6145
662,933,2646,934,1714
663,1316,3042,1317,1727
664,82,301,83,220
665,871,1269,872,399
666,66,161,67,96
667,174,998,175,825
668,648,854,649,207
670,579,740,580,162
671,3410,5883,3411,2474
672,3,24,4,22
673,2231,10707,2232,8477
674,906,3142,907,2237
675,2,26,3,25
676,5,25,6,21
678,1867,2479,1868,613
679,38,88,39,51
680,609,1181,610,573
681,174,323,175,150
682,18,62,19,45
683,6,34,7,29
684,3,23,4,21
685,246,502,247,257
687,21,94,22,74
688,454,2700,455,2247
690,30,72,31,43
691,350,1110,351,761
692,126,843,127,718
693,10,26,11,17
694,662,2535,663,1874
695,275,768,276,494
696,38,114,39,77
697,212,1045,213,834
698,36,143,37,108
699,1,15,2,15
700,442,1132,443,691
701,36,102,37,67
702,261,406,262,146
703,75,335,76,261
704,368,1695,369,1328
705,213,394,214,182
706,71,236,72,166
707,1138,4201,1139,3064
708,5930,13940,5931,8011
709,986,2720,987,1735
710,207,1172,208,966
711,341,1989,342,1649
712,75,172,76,98
713,58,127,59,70
714,2577,3906,2578,1330
715,302,558,303,257
716,93,292,94,200
717,30,85,31,56
718,484,1033,485,550
719,1737,7148,1738,5412
720,5980,7719,5981,1740
721,6,15,7,10
722,184,312,185,129
723,14,36,15,23
724,2348,8426,2349,6079
725,254,1426,255,1173
726,149,491,150,343
727,10,24,11,15
728,2072,3207,2073,1136
729,62,114,63,53
730,21,62,22,42
731,175,781,176,607
732,54,219,55,166
733,17448,31979,17449,14532
734,8,54,9,47
735,596,1127,597,532
736,10182,31040,10183,20859
737,448,4238,449,3791
738,10,25,11,16
739,0,11,1,12
741,5813,8381,5814,2569
742,381,1850,382,1470
743,1028,5784,1029,4757
744,11,34,12,24
745,9457,12241,9458,2785
746,198,311,199,114
747,179,997,180,819
748,1644,4958,1645,3315
749,8,39,9,32
750,20908,26714,20909,5807
751,82,154,83,73
752,13,39,14,27
753,190,461,191,272
754,100,351,101,252
755,65,138,66,74
756,39,103,40,65
757,122,244,123,123
758,8,23,9,16
759,235,340,236,106
760,515,907,516,393
761,658,3536,659,2879
762,1097,8959,1098,7863
763,15,53,16,39
764,239,541,240,303
765,1295,4775,1296,3481
766,772,1648,773,877
767,132,282,133,151
768,12,33,13,22
769,73,127,74,55
770,7,25,8,19
771,67,138,68,72
772,10,31,11,22
773,18,44,19,27
774,6,32,7,27
775,37,147,38,111
776,17,42,18,26
777,8,30,9,23
778,20724,28702,20725,7979
779,124,475,125,352
780,20505,48902,20506,28398
781,819,1878,820,1060
782,521,2621,522,2101
783,3965,10676,3966,6712
784,2544,14457,2545,11914
785,4099,10260,4100,6162
786,4788,15412,4789,10625
787,59,81,60,23
788,4432,19138,4433,14707
789,15,44,16,30
790,47,98,48,52
791,60,102,61,43
792,16,43,17,28
793,46,109,47,64
794,43,99,44,57
795,31,96,32,66
796,14,42,15,29
797,48,104,49,57
798,614,2959,615,2346
799,2400,5867,2401,3468
800,4918,6537,4919,1620
801,417,1540,418,1124
802,5674,12436,5675,6763
803,281,540,282,260
804,606,2081,607,1476
805,6273,11232,6274,4960
806,179,523,180,345
807,84,196,85,113
808,275,752,276,478
809,282,1288,283,1007
810,141,1842,142,1702
812,6,30,7,25
813,76,450,77,375
814,2,12,3,11
815,3,25,4,23
816,29,71,30,43
818,501,2669,502,2169
819,24,54,25,31
820,21,62,22,42
821,13,44,14,32
822,12,33,13,22
823,49,121,50,73
824,238,357,239,120
825,5,24,6,20
826,3,20,4,18
827,54,151,55,98
828,453,1385,454,933
829,368,1726,369,1359
830,1917,6098,1918,4182
831,109,208,110,100
832,5955,13849,5956,7895
833,278,1354,279,1077
834,41,182,42,142
835,289,889,290,601
836,993,4620,994,3628
837,2488,5800,2489,3313
838,4669,7420,4670,2752
839,799,3722,800,2924
840,124,642,125,519
841,366,615,367,250
842,436,1901,437,1466
843,24,55,25,32
844,96,155,97,60
845,29,66,30,38
846,203,378,204,176
847,22,109,23,88
848,1079,1893,1080,815
849,1495,7751,1496,6257
850,127,247,128,121
851,729,1528,730,800
852,3274,9849,3275,6576
853,44,103,45,60
854,131,211,132,81
855,7,32,8,26
856,22,53,23,32
857,18,44,19,27
858,43411,52498,43412,9088
859,3,15,4,13
860,165,327,166,163
861,1127,2371,1128,1245
862,176,334,177,159
864,38,82,39,45
865,32,90,33,59
866,3495,5844,3496,2350
867,48,314,49,267
868,25,79,26,55
869,167,529,168,363
870,56,436,57,381
871,21,52,22,32
872,36,69,37,34
873,14,39,15,26
874,16,68,17,53
875,222,471,223,250
876,58,273,59,216
877,63,153,64,91
878,8,27,9,20
879,470,2104,471,1635
880,680,5033,681,4354
881,261,1040,262,780
882,194,757,195,564
884,19,48,20,30
885,120,589,121,470
886,467,1633,468,1167
887,8,35,9,28
889,54,115,55,62
890,8,26,9,19
891,397,1934,398,1538
892,778,1266,779,489
893,292,528,293,237
894,9,35,10,27
895,14,53,15,40
896,257,444,258,188
897,452,808,453,357
898,5018,6499,5019,1482
899,7902,10895,7903,2994
900,1804,2913,1805,1110
901,871,1569,872,699
902,6352,10145,6353,3794
903,12135,15945,12136,3811
904,16467,20162,16468,3696
905,3348,4313,3349,966
906,1577,2118,1578,542
907,595,823,596,229
908,13500,16850,13501,3351
909,4101,5621,4102,1521
910,8380,11549,8381,3170
911,3159,4259,3160,1101
912,21032,26890,21033,5859
913,9472,12257,9473,2786
914,6422,9692,6423,3271
915,3441,5167,3442,1727
916,4694,6420,4695,1727
917,576,1026,577,451
918,1085,1830,1086,746
919,16219,24658,16220,8440
920,9054,14668,9055,5615
921,1435,2209,1436,775
922,5864,7368,5865,1505
923,13949,19091,13950,5143
924,19968,28820,19969,8853
925,42,86,43,45
926,3996,5068,3997,1073
927,600,865,601,266
928,3700,4905,3701,1206
929,605,960,606,356
930,4051,5062,4052,1012
931,1556,2287,1557,732
932,1291,2074,1292,784
933,3470,4827,3471,1358
934,1655,3592,1656,1938
935,371,607,372,237
936,995,1394,996,400
937,292,503,293,212
938,903,1616,904,714
939,45,102,46,58
940,2429,3714,2430,1286
941,469,897,470,429
942,2096,2782,2097,687
943,1042,1616,1043,575
944,648,1012,649,365
945,1520,2029,1521,510
946,1006,1424,1007,419
947,1330,1794,1331,465
948,982,1648,983,667
949,1440,2114,1441,675
950,2643,3318,2644,676
951,3115,4145,3116,1031
952,1082,2296,1083,1215
953,10917,15384,10918,4468
954,4117,5714,4118,1598
955,3198,4452,3199,1255
956,160,349,161,190
957,91,209,92,119
958,23,92,24,70
959,226,372,227,147
960,80,157,81,78
961,98,235,99,138
962,44,98,45,55
963,270,510,271,241
964,135,315,136,181
965,2576,3630,2577,1055
966,58,117,59,60
967,33,158,34,126
968,4603,8005,4604,3403
969,7656,10279,7657,2624
970,189,375,190,187
971,1998,2892,1999,895
972,35,109,36,75
973,585,909,586,325
974,54,127,55,74
975,6,27,7,22
976,210,406,211,197
977,0,9,1,10
979,11,36,12,26
980,38,110,39,73
981,31,190,32,160
982,320,549,321,230
983,5,21,6,17
984,47,206,48,160
985,27,53,28,27
986,1326,2628,1327,1303
987,102,256,103,155
988,207,496,208,290
989,35,70,36,36
990,166,874,167,709
991,1164,2358,1165,1195
992,44,239,45,196
993,102,226,103,125
994,3517,4844,3518,1328
996,842,3087,843,2246
997,97,191,98,95
998,290,776,291,487
999,1120,2881,1121,1762
1000,70,201,71,132
1001,7,33,8,27
1002,64,129,65,66
1003,465,1506,466,1042
1004,283,1473,284,1191
1005,307,1943,308,1637
1006,474,1403,475,930
1007,412,1692,413,1281
1008,310,728,311,419
1009,756,2411,757,1656
1010,674,2392,675,1719
1011,245,1434,246,1190
1012,1672,3204,1673,1533
1013,1893,4261,1894,2369
1014,689,1518,690,830
1015,1375,3601,1376,2227
1016,398,1342,399,945
1017,1487,3083,1488,1597
1018,354,1141,355,788
1019,2804,5689,2805,2886
1020,2313,6804,2314,4492
1021,720,3395,721,2676
1022,4748,9603,4749,4856
1023,1934,3095,1935,1162
1024,352,1082,353,731
1025,2711,5815,2712,3105
1026,49,119,50,71
1027,2914,8068,2915,5155
1028,8765,15121,8766,6357
1029,4142,9088,4143,4947
1030,921,3092,922,2172
1031,1654,4121,1655,2468
1032,4326,8408,4327,4083
1033,1904,4558,1905,2655
1034,735,1456,736,722
1035,9361,15248,9362,5888
1036,24935,36716,24936,11782
1037,1339,6637,1340,5299
1038,74,216,75,143
1039,19,51,20,33
1040,55,142,56,88
1041,3914,5162,3915,1249
1042,3437,7785,3438,4349
1043,305,1107,306,803
1044,180,466,181,287
1045,12,43,13,32
1046,874,1249,875,376
1047,3588,8165,3589,4578
1049,2032,4756,2033,2725
1050,1030,1589,1031,560
1051,663,1274,664,612
1052,21,42,22,22
1053,63,195,64,133
1054,374,726,375,353
1055,59,300,60,242
1056,312,682,313,371
1057,1463,3107,1464,1645
1058,58,123,59,66
1059,5327,10455,5328,5129
1060,5942,9319,5943,3378
1061,4512,8381,4513,3870
1062,17,72,18,56
1063,57,145,58,89
1065,3,17,4,15
1066,958,1318,959,361
1067,61,132,62,72
1068,190,322,191,133
1069,535,756,536,222
1070,19,62,20,44
1071,16,47,17,32
1073,15876,28079,15877,12204
1075,55,120,56,66
1076,361,556,362,196
1077,4395,6751,4396,2357
1078,2089,3496,2090,1408
1079,12523,19715,12524,7193
1080,15926,22484,15927,6559
1081,1803,3589,1804,1787
1082,956,1707,957,752
1083,669,1450,670,782
1084,6077,9247,6078,3171
1085,695,1162,696,468
1086,4492,5999,4493,1508
1087,117,244,118,128
1088,4630,11935,4631,7306
1089,26231,34634,26232,8404
1090,11344,16796,11345,5453
1091,1052,4943,1053,3892
1092,4346,11109,4347,6764
1093,3033,7266,3034,4234
1094,6550,11377,6551,4828
1095,4086,6161,4087,2076
1096,2424,3552,2425,1129
1097,20011,34602,20012,14592
1098,38,118,39,81
1099,1265,1967,1266,703
1100,1136,5175,1137,4040
1101,8800,20453,8801,11654
1102,12,74,13,63
1103,3515,5806,3516,2292
1104,4405,6223,4406,1819
1105,147,873,148,727
1106,9,37,10,29
1107,7,76,8,70
1109,3,12,4,10
1110,4,28,5,25
1111,1207,1725,1208,519
1112,172,360,173,189
1113,321,964,322,644
1114,164,448,165,285
1115,11,33,12,23
1116,72,159,73,88
1117,129,237,130,109
1118,10,25,11,16
1119,62,166,63,105
1120,4365,8668,4366,4304
1121,27,115,28,89
1122,6,15,7,10
1123,117,188,118,72
1124,2473,4327,2474,1855
1125,2792,4899,2793,2108
1126,568,2901,569,2334
1127,9737,17568,9738,7832
1128,521,1833,522,1313
1129,3907,9177,3908,5271
1130,696,1939,697,1244
1131,2415,3142,2416,728
1132,2180,2879,2181,700
1133,52,100,53,49
1134,16,53,17,38
1135,1022,3704,1023,2683
1136,29137,37723,29138,8587
1137,28,67,29,40
1138,23,46,24,24
1139,10,24,11,15
1140,12,28,13,17
1141,1,5,2,5
1142,14,55,15,42
1143,19,52,20,34
1144,91,152,92,62
1145,24,51,25,28
1146,9,32,10,24
1147,2805,3576,2806,772
1148,11756,15270,11757,3515
1149,24,54,25,31
1150,1031,1501,1032,471
1151,199,367,200,169
1152,74,170,75,97
1153,64,150,65,87
1154,52,119,53,68
1155,1,9,2,9
1156,20,46,21,27
1157,14,33,15,20
1158,2,13,3,12
1159,2,19,3,18
1160,14,40,15,27
1161,945,1438,946,494
1162,485,753,486,269
1163,95,217,96,123
1164,92,196,93,105
1165,11,33,12,23
1166,15,34,16,20
1167,195,800,196,606
1168,43,199,44,157
1169,199,285,200,87
1170,14,149,15,136
1171,1801,3026,1802,1226
1172,7277,9456,7278,2180
1173,1535,2931,1536,1397
1174,37,99,38,63
1175,5108,7301,5109,2194
1176,1218,1780,1219,563
1177,1129,1705,1130,577
1178,3413,4254,3414,842
1179,3704,6152,3705,2449
1180,269,428,270,160
1181,33,92,34,60
1183,8209,14748,8210,6540
1184,600,970,601,371
1185,3661,5325,3662,1665
1186,3392,6613,3393,3222
1187,637,1076,638,440
1188,4627,7084,4628,2458
1189,2103,2738,2104,636
1190,690,1481,691,792
1191,383,1500,384,1118
1192,777,1126,778,350
1193,29099,36058,29100,6960
1194,1121,2514,1122,1394
1196,44246,57361,44247,13116
1197,28607,37863,28608,9257
1198,41539,54675,41540,13137
1199,11022,15455,11023,4434
